Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg
t5-3b/distilgpt2,0.9164,0.8656,0.8760,0.8284,0.7729,0.8519
t5-3b/gpt-neo-125m,0.9474,0.9173,0.9427,0.9083,0.8722,0.9176
t5-3b/gpt2,0.9683,0.8961,0.9092,0.8664,0.8117,0.8903
t5-3b/opt-125m,0.9552,0.9459,0.9351,0.8976,0.8589,0.9185
t5-3b/opt-350m,0.9582,0.9488,0.9375,0.8971,0.8642,0.9212
t5-3b/palmyra-small,0.9558,0.9317,0.9462,0.9046,0.8723,0.9221
t5-3b/pythia-160m,0.9373,0.9092,0.9222,0.8880,0.8657,0.9045
t5-3b/pythia-160m-dd,0.9381,0.9072,0.9224,0.8905,0.8595,0.9036
t5-3b/pythia-70m,0.9313,0.9063,0.9202,0.8881,0.8607,0.9013
t5-3b/pythia-70m-dd,0.9256,0.9091,0.9161,0.8917,0.8601,0.9005
