Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg,std
t5-3b/distilgpt2,0.9074,0.8664,0.8559,0.8156,0.7131,0.8317,0.0661
t5-3b/gpt-neo-125m,0.9344,0.9050,0.9235,0.8792,0.8225,0.8929,0.0399
t5-3b/gpt2,0.9632,0.8917,0.8845,0.8385,0.7315,0.8619,0.0764
t5-3b/opt-125m,0.9521,0.9366,0.9226,0.8789,0.8025,0.8985,0.0539
t5-3b/opt-350m,0.9543,0.9420,0.9217,0.8745,0.8196,0.9024,0.0495
t5-3b/palmyra-small,0.9393,0.9252,0.9265,0.8677,0.8096,0.8937,0.0488
t5-3b/pythia-160m,0.9192,0.9022,0.8946,0.8593,0.8192,0.8789,0.0357
t5-3b/pythia-160m-dd,0.9158,0.8994,0.8893,0.8623,0.8039,0.8742,0.0392
t5-3b/pythia-70m,0.9059,0.8948,0.8883,0.8612,0.8032,0.8707,0.0368
t5-3b/pythia-70m-dd,0.9035,0.8977,0.8852,0.8691,0.7912,0.8693,0.0408
