Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg
t5-3b/distilgpt2,0.9308,0.8863,0.8983,0.8543,0.8382,0.8816
t5-3b/gpt-neo-125m,0.9479,0.9128,0.9487,0.9205,0.9010,0.9262
t5-3b/gpt2,0.9725,0.9026,0.9316,0.8860,0.8686,0.9123
t5-3b/opt-125m,0.9560,0.9701,0.9431,0.9127,0.8964,0.9357
t5-3b/opt-350m,0.9589,0.9682,0.9466,0.9142,0.8987,0.9373
t5-3b/palmyra-small,0.9596,0.9285,0.9556,0.9247,0.9140,0.9365
t5-3b/pythia-160m,0.9381,0.9011,0.9296,0.9034,0.8905,0.9125
t5-3b/pythia-160m-dd,0.9397,0.8977,0.9400,0.9027,0.8866,0.9134
t5-3b/pythia-70m,0.9376,0.9005,0.9338,0.9013,0.8927,0.9132
t5-3b/pythia-70m-dd,0.9263,0.8988,0.9265,0.9002,0.8950,0.9094
