Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg,std
t5-3b/distilgpt2,0.9110,0.8442,0.8738,0.8152,0.7673,0.8423,0.0491
t5-3b/gpt-neo-125m,0.9599,0.9341,0.9560,0.9252,0.8932,0.9337,0.0241
t5-3b/gpt2,0.9692,0.8938,0.9114,0.8746,0.8350,0.8968,0.0442
t5-3b/opt-125m,0.9575,0.9311,0.9395,0.9012,0.8777,0.9214,0.0284
t5-3b/opt-350m,0.9613,0.9362,0.9441,0.9027,0.8743,0.9237,0.0312
t5-3b/palmyra-small,0.9684,0.9415,0.9564,0.9214,0.8932,0.9362,0.0266
t5-3b/pythia-160m,0.9546,0.9242,0.9425,0.9013,0.8875,0.9220,0.0249
t5-3b/pythia-160m-dd,0.9587,0.9245,0.9381,0.9065,0.8881,0.9232,0.0245
t5-3b/pythia-70m,0.9506,0.9237,0.9385,0.9019,0.8862,0.9202,0.0235
t5-3b/pythia-70m-dd,0.9472,0.9309,0.9366,0.9058,0.8941,0.9229,0.0198
