Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg,std
t5-3b/distilgpt2,0.9022,0.8699,0.8781,0.8403,0.7791,0.8539,0.0423
t5-3b/gpt-neo-125m,0.8944,0.8764,0.8948,0.8549,0.7918,0.8625,0.0382
t5-3b/gpt2,0.9312,0.8874,0.8934,0.8608,0.8028,0.8751,0.0426
t5-3b/opt-125m,0.8953,0.8966,0.8829,0.8483,0.7897,0.8626,0.0404
t5-3b/opt-350m,0.8989,0.9011,0.8830,0.8536,0.7936,0.8660,0.0400
t5-3b/palmyra-small,0.8950,0.8764,0.8967,0.8528,0.7966,0.8635,0.0370
t5-3b/pythia-160m,0.8953,0.8743,0.8924,0.8527,0.8115,0.8652,0.0309
t5-3b/pythia-160m-dd,0.8990,0.8792,0.8979,0.8565,0.8116,0.8688,0.0326
t5-3b/pythia-70m,0.8722,0.8554,0.8754,0.8318,0.7833,0.8436,0.0339
t5-3b/pythia-70m-dd,0.8756,0.8549,0.8724,0.8347,0.7880,0.8451,0.0321
