Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg,std
t5-3b/distilgpt2,0.9225,0.8970,0.8732,0.8299,0.7585,0.8562,0.0576
t5-3b/gpt-neo-125m,0.9186,0.9055,0.9005,0.8530,0.7714,0.8698,0.0540
t5-3b/gpt2,0.9515,0.9221,0.8977,0.8605,0.7931,0.8850,0.0548
t5-3b/opt-125m,0.9139,0.9111,0.8801,0.8370,0.7593,0.8603,0.0576
t5-3b/opt-350m,0.9243,0.9234,0.8913,0.8504,0.7779,0.8734,0.0549
t5-3b/palmyra-small,0.9151,0.9060,0.8991,0.8481,0.7721,0.8681,0.0533
t5-3b/pythia-160m,0.9121,0.9016,0.8970,0.8519,0.7950,0.8715,0.0435
t5-3b/pythia-160m-dd,0.9225,0.9036,0.9040,0.8599,0.7939,0.8768,0.0463
t5-3b/pythia-70m,0.9054,0.8906,0.8819,0.8472,0.7814,0.8613,0.0443
t5-3b/pythia-70m-dd,0.9054,0.8832,0.8759,0.8461,0.7796,0.8580,0.0436
