Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg,std
t5-3b/distilgpt2,0.9431,0.9190,0.9405,0.9251,0.8760,0.9207,0.0241
t5-3b/gpt-neo-125m,0.9294,0.9156,0.9378,0.9266,0.8863,0.9192,0.0179
t5-3b/gpt2,0.9726,0.9404,0.9563,0.9480,0.9065,0.9447,0.0219
t5-3b/opt-125m,0.9404,0.9510,0.9461,0.9312,0.8955,0.9328,0.0198
t5-3b/opt-350m,0.9418,0.9530,0.9434,0.9385,0.8935,0.9341,0.0208
t5-3b/palmyra-small,0.9334,0.9192,0.9423,0.9291,0.8925,0.9233,0.0171
t5-3b/pythia-160m,0.9340,0.9174,0.9363,0.9262,0.9014,0.9231,0.0127
t5-3b/pythia-160m-dd,0.9349,0.9207,0.9414,0.9287,0.9012,0.9254,0.0139
t5-3b/pythia-70m,0.9002,0.8992,0.9230,0.9018,0.8676,0.8984,0.0177
t5-3b/pythia-70m-dd,0.9049,0.9020,0.9215,0.9048,0.8692,0.9005,0.0171
