Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg,std
t5-3b/distilgpt2,0.8410,0.7936,0.8207,0.7660,0.7030,0.7848,0.0481
t5-3b/gpt-neo-125m,0.8353,0.8080,0.8461,0.7852,0.7177,0.7985,0.0456
t5-3b/gpt2,0.8696,0.7996,0.8261,0.7738,0.7087,0.7955,0.0538
t5-3b/opt-125m,0.8315,0.8278,0.8225,0.7767,0.7144,0.7946,0.0447
t5-3b/opt-350m,0.8305,0.8269,0.8143,0.7718,0.7093,0.7906,0.0457
t5-3b/palmyra-small,0.8364,0.8042,0.8486,0.7813,0.7251,0.7991,0.0440
t5-3b/pythia-160m,0.8399,0.8038,0.8439,0.7801,0.7383,0.8012,0.0393
t5-3b/pythia-160m-dd,0.8397,0.8133,0.8484,0.7810,0.7396,0.8044,0.0400
t5-3b/pythia-70m,0.8109,0.7764,0.8215,0.7464,0.7010,0.7712,0.0440
t5-3b/pythia-70m-dd,0.8165,0.7796,0.8199,0.7532,0.7151,0.7768,0.0395
