Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg,std
t5-3b/distilgpt2,0.9179,0.8687,0.8860,0.8330,0.7764,0.8564,0.0485
t5-3b/gpt-neo-125m,0.9458,0.9146,0.9368,0.9056,0.8573,0.9120,0.0310
t5-3b/gpt2,0.9727,0.9093,0.9204,0.8805,0.8249,0.9016,0.0486
t5-3b/opt-125m,0.9536,0.9433,0.9362,0.8997,0.8539,0.9173,0.0365
t5-3b/opt-350m,0.9580,0.9480,0.9369,0.8967,0.8590,0.9197,0.0368
t5-3b/palmyra-small,0.9520,0.9313,0.9444,0.9007,0.8640,0.9185,0.0324
t5-3b/pythia-160m,0.9353,0.9171,0.9245,0.8839,0.8578,0.9037,0.0287
t5-3b/pythia-160m-dd,0.9390,0.9129,0.9245,0.8915,0.8552,0.9046,0.0292
t5-3b/pythia-70m,0.9221,0.9020,0.9156,0.8802,0.8425,0.8925,0.0288
t5-3b/pythia-70m-dd,0.9187,0.9031,0.9110,0.8825,0.8414,0.8913,0.0277
