Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg
t5-3b/distilgpt2,0.9209,0.8785,0.8779,0.8311,0.7396,0.8496
t5-3b/gpt-neo-125m,0.9346,0.9079,0.9169,0.8804,0.8025,0.8885
t5-3b/gpt2,0.9703,0.9162,0.8971,0.8494,0.7638,0.8793
t5-3b/opt-125m,0.9476,0.9352,0.9232,0.8790,0.7949,0.8960
t5-3b/opt-350m,0.9611,0.9450,0.9194,0.8735,0.8226,0.9043
t5-3b/palmyra-small,0.9361,0.9290,0.9209,0.8620,0.8053,0.8907
t5-3b/pythia-160m,0.9158,0.9188,0.9057,0.8557,0.8075,0.8807
t5-3b/pythia-160m-dd,0.9296,0.9151,0.8994,0.8753,0.8063,0.8851
t5-3b/pythia-70m,0.9068,0.8957,0.8930,0.8661,0.7967,0.8717
t5-3b/pythia-70m-dd,0.9040,0.9003,0.8839,0.8700,0.7850,0.8686
