Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg,std
t5-3b/distilgpt2,0.9314,0.8986,0.9069,0.8593,0.8378,0.8868,0.0337
t5-3b/gpt-neo-125m,0.9506,0.9173,0.9463,0.9213,0.9009,0.9273,0.0187
t5-3b/gpt2,0.9794,0.9204,0.9479,0.9114,0.8795,0.9277,0.0339
t5-3b/opt-125m,0.9627,0.9716,0.9531,0.9268,0.9077,0.9444,0.0237
t5-3b/opt-350m,0.9596,0.9709,0.9516,0.9243,0.8986,0.9410,0.0262
t5-3b/palmyra-small,0.9599,0.9335,0.9577,0.9312,0.9139,0.9392,0.0173
t5-3b/pythia-160m,0.9438,0.9191,0.9318,0.9071,0.8978,0.9199,0.0165
t5-3b/pythia-160m-dd,0.9421,0.9087,0.9385,0.9048,0.8894,0.9167,0.0204
t5-3b/pythia-70m,0.9319,0.9027,0.9339,0.8993,0.8821,0.9100,0.0200
t5-3b/pythia-70m-dd,0.9221,0.8979,0.9244,0.8948,0.8808,0.9040,0.0168
