Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg,std
t5-3b/distilgpt2,0.9015,0.8292,0.8732,0.8085,0.7520,0.8329,0.0519
t5-3b/gpt-neo-125m,0.9520,0.9187,0.9471,0.9150,0.8686,0.9203,0.0298
t5-3b/gpt2,0.9684,0.8915,0.9164,0.8807,0.8315,0.8977,0.0449
t5-3b/opt-125m,0.9505,0.9231,0.9324,0.8931,0.8592,0.9117,0.0321
t5-3b/opt-350m,0.9534,0.9281,0.9398,0.8923,0.8559,0.9139,0.0354
t5-3b/palmyra-small,0.9600,0.9312,0.9546,0.9088,0.8728,0.9255,0.0320
t5-3b/pythia-160m,0.9462,0.9135,0.9360,0.8888,0.8682,0.9105,0.0290
t5-3b/pythia-160m-dd,0.9453,0.9150,0.9355,0.8943,0.8700,0.9120,0.0274
t5-3b/pythia-70m,0.9276,0.9076,0.9198,0.8751,0.8487,0.8957,0.0296
t5-3b/pythia-70m-dd,0.9298,0.9110,0.9246,0.8825,0.8583,0.9013,0.0270
