Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg,std
distilgpt2/distilgpt2,0.9086,0.8575,0.8797,0.8361,0.7833,0.8530,0.0423
gpt-j-6B/distilgpt2,0.9906,0.9587,0.9820,0.9519,0.9079,0.9582,0.0289
gpt-j-6B/gpt-j-6B,0.8710,0.8621,0.8577,0.9866,0.8910,0.8937,0.0478
gpt-j-6B/gpt-neo-1.3B,0.9930,0.9688,0.9897,0.9690,0.9426,0.9726,0.0181
gpt-j-6B/gpt-neo-125m,0.9900,0.9579,0.9881,0.9616,0.9236,0.9642,0.0242
gpt-j-6B/gpt2,0.9956,0.9541,0.9799,0.9437,0.8985,0.9544,0.0334
gpt-neo-1.3B/gpt-neo-1.3B,0.9657,0.9315,0.9598,0.9318,0.8946,0.9367,0.0253
gpt-neo-125m/gpt-neo-125m,0.9564,0.9061,0.9455,0.9103,0.8689,0.9174,0.0311
gpt-neo-2.7B/gpt-neo-2.7B,0.9478,0.9239,0.9940,0.9300,0.9016,0.9395,0.0310
gpt2-xl/gpt2-xl,0.9967,0.8782,0.8732,0.8522,0.8077,0.8816,0.0627
gpt2/gpt2,0.9678,0.8686,0.8891,0.8526,0.7921,0.8740,0.0570
opt-1.3b/opt-1.3b,0.9486,0.9643,0.9207,0.9190,0.8903,0.9286,0.0257
opt-125m/opt-125m,0.9628,0.9477,0.9399,0.9109,0.8733,0.9269,0.0317
opt-13b/opt-1.3b,0.9888,0.9888,0.9771,0.9682,0.9428,0.9732,0.0170
opt-13b/opt-125m,0.9947,0.9835,0.9877,0.9672,0.9289,0.9724,0.0236
opt-13b/opt-13b,0.8441,0.8885,0.8114,0.8652,0.8666,0.8552,0.0260
opt-13b/opt-350m,0.9959,0.9865,0.9892,0.9705,0.9357,0.9756,0.0216
opt-13b/opt-6.7b,0.9159,0.9413,0.8833,0.9161,0.9070,0.9127,0.0187
opt-2.7b/opt-2.7b,0.9214,0.9908,0.8896,0.9121,0.8877,0.9203,0.0375
opt-350m/opt-350m,0.9708,0.9567,0.9451,0.9163,0.8825,0.9343,0.0315
opt-6.7b/opt-6.7b,0.8717,0.9126,0.8346,0.8815,0.8744,0.8749,0.0249
palmyra-base/palmyra-base,0.9533,0.9263,0.9427,0.9269,0.8983,0.9295,0.0186
palmyra-base/palmyra-small,0.9858,0.9490,0.9803,0.9477,0.9065,0.9538,0.0284
palmyra-small/palmyra-small,0.9592,0.9171,0.9473,0.9104,0.8704,0.9209,0.0311
pythia-1.4b/pythia-1.4b,0.9498,0.9167,0.9392,0.9251,0.9016,0.9265,0.0169
pythia-160m-dd/pythia-160m-dd,0.9541,0.9053,0.9328,0.9058,0.8728,0.9142,0.0276
pythia-160m/pythia-160m,0.9543,0.9023,0.9335,0.9077,0.8768,0.9149,0.0267
pythia-1b/pythia-1b,0.9609,0.9242,0.9491,0.9265,0.8993,0.9320,0.0214
pythia-2.8b/pythia-2.8b,0.9303,0.9061,0.9169,0.9225,0.9125,0.9177,0.0083
pythia-410m/pythia-410m,0.9645,0.9245,0.9547,0.9215,0.8925,0.9315,0.0257
pythia-6.9b/pythia-1.4b,0.9826,0.9527,0.9785,0.9627,0.9414,0.9636,0.0155
pythia-6.9b/pythia-160m,0.9608,0.9238,0.9550,0.9226,0.8979,0.9320,0.0231
pythia-6.9b/pythia-160m-dd,0.9643,0.9177,0.9507,0.9122,0.8855,0.9261,0.0282
pythia-6.9b/pythia-1b,0.9893,0.9602,0.9852,0.9665,0.9403,0.9683,0.0178
pythia-6.9b/pythia-2.8b,0.9582,0.9280,0.9502,0.9483,0.9359,0.9441,0.0108
pythia-6.9b/pythia-410m,0.9923,0.9654,0.9886,0.9668,0.9385,0.9703,0.0193
pythia-6.9b/pythia-6.9b,0.8880,0.8716,0.8765,0.9075,0.9087,0.8904,0.0154
pythia-6.9b/pythia-70m,0.9521,0.9089,0.9467,0.9109,0.8798,0.9197,0.0267
pythia-6.9b/pythia-70m-dd,0.9182,0.8623,0.8909,0.8510,0.8285,0.8702,0.0313
pythia-70m-dd/pythia-70m-dd,0.9345,0.8936,0.9187,0.8901,0.8588,0.8992,0.0260
pythia-70m/pythia-70m,0.9374,0.8950,0.9267,0.8950,0.8638,0.9036,0.0261
