Reference/Scoring,davinci-002,gpt-3.5-turbo,gpt-4,avg,std
distilgpt2/distilgpt2,0.7678,0.9120,0.8144,0.8314,0.0601
gpt-j-6B/distilgpt2,0.8699,0.9264,0.8565,0.8843,0.0303
gpt-j-6B/gpt-j-6B,0.8520,0.9640,0.9095,0.9085,0.0458
gpt-j-6B/gpt-neo-1.3B,0.8763,0.9590,0.9048,0.9133,0.0343
gpt-j-6B/gpt-neo-125m,0.8663,0.9357,0.8724,0.8915,0.0314
gpt-j-6B/gpt2,0.8663,0.9415,0.8778,0.8952,0.0331
gpt-neo-1.3B/gpt-neo-1.3B,0.8451,0.9625,0.8928,0.9001,0.0482
gpt-neo-125m/gpt-neo-125m,0.8194,0.9463,0.8711,0.8790,0.0521
gpt-neo-2.7B/gpt-neo-2.7B,0.8525,0.9641,0.9000,0.9055,0.0457
gpt2-xl/gpt2-xl,0.8086,0.9591,0.8920,0.8866,0.0616
gpt2/gpt2,0.7906,0.9367,0.8523,0.8599,0.0599
opt-1.3b/opt-1.3b,0.8477,0.9609,0.8988,0.9025,0.0463
opt-125m/opt-125m,0.8141,0.9483,0.8830,0.8818,0.0548
opt-13b/opt-1.3b,0.8735,0.9661,0.9170,0.9189,0.0378
opt-13b/opt-125m,0.8540,0.9364,0.8698,0.8867,0.0357
opt-13b/opt-13b,0.8597,0.9641,0.9150,0.9129,0.0427
opt-13b/opt-350m,0.8693,0.9500,0.8943,0.9045,0.0337
opt-13b/opt-6.7b,0.8694,0.9652,0.9139,0.9162,0.0391
opt-2.7b/opt-2.7b,0.8518,0.9627,0.9088,0.9077,0.0453
opt-350m/opt-350m,0.8337,0.9556,0.8941,0.8944,0.0498
opt-6.7b/opt-6.7b,0.8639,0.9651,0.9188,0.9159,0.0414
palmyra-base/palmyra-base,0.8596,0.9638,0.8989,0.9074,0.0429
palmyra-base/palmyra-small,0.8694,0.9396,0.8656,0.8915,0.0340
palmyra-small/palmyra-small,0.8333,0.9407,0.8781,0.8840,0.0440
pythia-1.4b/pythia-1.4b,0.8494,0.9659,0.8939,0.9031,0.0480
pythia-160m-dd/pythia-160m-dd,0.8254,0.9439,0.8667,0.8786,0.0491
pythia-160m/pythia-160m,0.8199,0.9404,0.8715,0.8772,0.0494
pythia-1b/pythia-1b,0.8363,0.9572,0.8858,0.8931,0.0496
pythia-2.8b/pythia-2.8b,0.8522,0.9592,0.8938,0.9018,0.0440
pythia-410m/pythia-410m,0.8353,0.9528,0.8759,0.8880,0.0487
pythia-6.9b/pythia-1.4b,0.8709,0.9580,0.8911,0.9067,0.0372
pythia-6.9b/pythia-160m,0.8527,0.9119,0.8200,0.8615,0.0380
pythia-6.9b/pythia-160m-dd,0.7940,0.8064,0.7263,0.7756,0.0352
pythia-6.9b/pythia-1b,0.8634,0.9528,0.8882,0.9015,0.0377
pythia-6.9b/pythia-2.8b,0.8659,0.9530,0.8899,0.9029,0.0367
pythia-6.9b/pythia-410m,0.8685,0.9529,0.8817,0.9010,0.0371
pythia-6.9b/pythia-6.9b,0.8529,0.9583,0.8971,0.9028,0.0432
pythia-6.9b/pythia-70m,0.8388,0.8725,0.7748,0.8287,0.0405
pythia-6.9b/pythia-70m-dd,0.7441,0.6814,0.6385,0.6880,0.0434
pythia-70m-dd/pythia-70m-dd,0.8055,0.9334,0.8555,0.8648,0.0526
pythia-70m/pythia-70m,0.8087,0.9404,0.8764,0.8751,0.0538
