Reference/Scoring,davinci-002,gpt-3.5-turbo,gpt-4,avg,std
distilgpt2/distilgpt2,0.6044,0.8305,0.7824,0.7391,0.0973
gpt-j-6B/distilgpt2,0.7515,0.8735,0.8337,0.8196,0.0508
gpt-j-6B/gpt-j-6B,0.6658,0.9036,0.8372,0.8022,0.1002
gpt-j-6B/gpt-neo-1.3B,0.7389,0.8971,0.8424,0.8261,0.0656
gpt-j-6B/gpt-neo-125m,0.7389,0.8806,0.8294,0.8163,0.0586
gpt-j-6B/gpt2,0.7456,0.8878,0.8564,0.8300,0.0610
gpt-neo-1.3B/gpt-neo-1.3B,0.6736,0.9073,0.8485,0.8098,0.0993
gpt-neo-125m/gpt-neo-125m,0.6580,0.8837,0.8224,0.7880,0.0953
gpt-neo-2.7B/gpt-neo-2.7B,0.6818,0.9073,0.8597,0.8163,0.0971
gpt2-xl/gpt2-xl,0.6572,0.8977,0.8564,0.8038,0.1050
gpt2/gpt2,0.6410,0.8724,0.8210,0.7781,0.0992
opt-1.3b/opt-1.3b,0.6898,0.8988,0.8593,0.8159,0.0907
opt-125m/opt-125m,0.6432,0.8790,0.8428,0.7883,0.1037
opt-13b/opt-1.3b,0.7212,0.9123,0.8722,0.8352,0.0823
opt-13b/opt-125m,0.6948,0.8654,0.8372,0.7992,0.0747
opt-13b/opt-13b,0.7030,0.9022,0.8701,0.8251,0.0873
opt-13b/opt-350m,0.7271,0.8883,0.8625,0.8260,0.0707
opt-13b/opt-6.7b,0.7189,0.9058,0.8639,0.8295,0.0801
opt-2.7b/opt-2.7b,0.6864,0.9032,0.8636,0.8177,0.0942
opt-350m/opt-350m,0.6684,0.8903,0.8596,0.8061,0.0982
opt-6.7b/opt-6.7b,0.7141,0.9053,0.8702,0.8299,0.0831
palmyra-base/palmyra-base,0.7140,0.9037,0.8501,0.8226,0.0798
palmyra-base/palmyra-small,0.7529,0.8760,0.8333,0.8207,0.0510
palmyra-small/palmyra-small,0.6783,0.8663,0.8232,0.7892,0.0804
pythia-1.4b/pythia-1.4b,0.6922,0.9136,0.8592,0.8216,0.0942
pythia-160m-dd/pythia-160m-dd,0.6827,0.8702,0.8209,0.7913,0.0794
pythia-160m/pythia-160m,0.6717,0.8637,0.8187,0.7847,0.0820
pythia-1b/pythia-1b,0.6762,0.8870,0.8336,0.7989,0.0895
pythia-2.8b/pythia-2.8b,0.6793,0.8914,0.8336,0.8015,0.0895
pythia-410m/pythia-410m,0.6846,0.8875,0.8474,0.8065,0.0877
pythia-6.9b/pythia-1.4b,0.7358,0.8903,0.8381,0.8214,0.0642
pythia-6.9b/pythia-160m,0.7594,0.8297,0.7821,0.7904,0.0293
pythia-6.9b/pythia-160m-dd,0.6601,0.6249,0.6876,0.6575,0.0257
pythia-6.9b/pythia-1b,0.7159,0.8761,0.8214,0.8045,0.0665
pythia-6.9b/pythia-2.8b,0.7282,0.8740,0.8199,0.8074,0.0602
pythia-6.9b/pythia-410m,0.7440,0.8844,0.8433,0.8239,0.0589
pythia-6.9b/pythia-6.9b,0.6735,0.8872,0.8195,0.7934,0.0892
pythia-6.9b/pythia-70m,0.7310,0.8089,0.7500,0.7633,0.0332
pythia-6.9b/pythia-70m-dd,0.6212,0.5493,0.6340,0.6015,0.0373
pythia-70m-dd/pythia-70m-dd,0.6493,0.8658,0.8137,0.7763,0.0923
pythia-70m/pythia-70m,0.6307,0.8722,0.8239,0.7756,0.1043
