Reference/Scoring,davinci-002,gpt-3.5-turbo,gpt-4,avg,std
distilgpt2/distilgpt2,0.8812,0.9421,0.8550,0.8928,0.0365
gpt-j-6B/distilgpt2,0.9309,0.9242,0.8418,0.8990,0.0405
gpt-j-6B/gpt-j-6B,0.9569,0.9965,0.9759,0.9764,0.0162
gpt-j-6B/gpt-neo-1.3B,0.9479,0.9895,0.9480,0.9618,0.0196
gpt-j-6B/gpt-neo-125m,0.9350,0.9479,0.8793,0.9207,0.0298
gpt-j-6B/gpt2,0.9348,0.9548,0.8787,0.9227,0.0322
gpt-neo-1.3B/gpt-neo-1.3B,0.9336,0.9912,0.9415,0.9554,0.0255
gpt-neo-125m/gpt-neo-125m,0.9064,0.9712,0.9092,0.9290,0.0299
gpt-neo-2.7B/gpt-neo-2.7B,0.9419,0.9932,0.9548,0.9633,0.0218
gpt2-xl/gpt2-xl,0.9108,0.9891,0.9268,0.9423,0.0338
gpt2/gpt2,0.8887,0.9593,0.8835,0.9105,0.0346
opt-1.3b/opt-1.3b,0.9379,0.9942,0.9617,0.9646,0.0231
opt-125m/opt-125m,0.9111,0.9862,0.9274,0.9415,0.0323
opt-13b/opt-1.3b,0.9589,0.9894,0.9540,0.9675,0.0157
opt-13b/opt-125m,0.9408,0.9568,0.8694,0.9223,0.0380
opt-13b/opt-13b,0.9542,0.9959,0.9763,0.9754,0.0170
opt-13b/opt-350m,0.9479,0.9716,0.9019,0.9405,0.0290
opt-13b/opt-6.7b,0.9610,0.9951,0.9733,0.9765,0.0141
opt-2.7b/opt-2.7b,0.9464,0.9960,0.9679,0.9701,0.0203
opt-350m/opt-350m,0.9179,0.9872,0.9372,0.9474,0.0292
opt-6.7b/opt-6.7b,0.9533,0.9962,0.9773,0.9756,0.0176
palmyra-base/palmyra-base,0.9403,0.9935,0.9506,0.9615,0.0230
palmyra-base/palmyra-small,0.9368,0.9609,0.8803,0.9260,0.0338
palmyra-small/palmyra-small,0.9248,0.9783,0.9198,0.9410,0.0265
pythia-1.4b/pythia-1.4b,0.9417,0.9935,0.9414,0.9589,0.0245
pythia-160m-dd/pythia-160m-dd,0.9008,0.9775,0.9015,0.9266,0.0360
pythia-160m/pythia-160m,0.8930,0.9713,0.9074,0.9239,0.0340
pythia-1b/pythia-1b,0.9292,0.9938,0.9435,0.9555,0.0277
pythia-2.8b/pythia-2.8b,0.9446,0.9932,0.9589,0.9656,0.0204
pythia-410m/pythia-410m,0.9164,0.9845,0.9080,0.9363,0.0343
pythia-6.9b/pythia-1.4b,0.9498,0.9922,0.9442,0.9621,0.0214
pythia-6.9b/pythia-160m,0.8945,0.9325,0.8178,0.8816,0.0477
pythia-6.9b/pythia-160m-dd,0.9192,0.9248,0.8184,0.8875,0.0489
pythia-6.9b/pythia-1b,0.9435,0.9903,0.9392,0.9577,0.0231
pythia-6.9b/pythia-2.8b,0.9424,0.9933,0.9630,0.9662,0.0209
pythia-6.9b/pythia-410m,0.9364,0.9849,0.9147,0.9454,0.0294
pythia-6.9b/pythia-6.9b,0.9528,0.9956,0.9706,0.9730,0.0175
pythia-6.9b/pythia-70m,0.8922,0.8551,0.7516,0.8330,0.0595
pythia-6.9b/pythia-70m-dd,0.8841,0.7588,0.7177,0.7869,0.0708
pythia-70m-dd/pythia-70m-dd,0.8936,0.9543,0.8743,0.9074,0.0341
pythia-70m/pythia-70m,0.9078,0.9618,0.8966,0.9221,0.0285
