Reference/Scoring,davinci-002,gpt-3.5-turbo,gpt-4,avg,std
distilgpt2/distilgpt2,0.8179,0.9632,0.8057,0.8623,0.0716
gpt-j-6B/distilgpt2,0.9273,0.9815,0.8939,0.9342,0.0361
gpt-j-6B/gpt-j-6B,0.9332,0.9920,0.9155,0.9469,0.0327
gpt-j-6B/gpt-neo-1.3B,0.9420,0.9904,0.9239,0.9521,0.0281
gpt-j-6B/gpt-neo-125m,0.9250,0.9785,0.9084,0.9373,0.0299
gpt-j-6B/gpt2,0.9186,0.9818,0.8982,0.9329,0.0356
gpt-neo-1.3B/gpt-neo-1.3B,0.9280,0.9889,0.8884,0.9351,0.0413
gpt-neo-125m/gpt-neo-125m,0.8939,0.9840,0.8818,0.9199,0.0456
gpt-neo-2.7B/gpt-neo-2.7B,0.9337,0.9919,0.8853,0.9370,0.0436
gpt2-xl/gpt2-xl,0.8578,0.9904,0.8927,0.9136,0.0561
gpt2/gpt2,0.8422,0.9784,0.8523,0.8910,0.0620
opt-1.3b/opt-1.3b,0.9156,0.9896,0.8754,0.9269,0.0473
opt-125m/opt-125m,0.8880,0.9798,0.8787,0.9155,0.0456
opt-13b/opt-1.3b,0.9405,0.9967,0.9248,0.9540,0.0309
opt-13b/opt-125m,0.9263,0.9869,0.9029,0.9387,0.0354
opt-13b/opt-13b,0.9219,0.9943,0.8986,0.9383,0.0407
opt-13b/opt-350m,0.9330,0.9900,0.9184,0.9471,0.0309
opt-13b/opt-6.7b,0.9284,0.9946,0.9044,0.9425,0.0382
opt-2.7b/opt-2.7b,0.9224,0.9888,0.8949,0.9353,0.0394
opt-350m/opt-350m,0.9148,0.9893,0.8854,0.9299,0.0437
opt-6.7b/opt-6.7b,0.9241,0.9938,0.9088,0.9423,0.0370
palmyra-base/palmyra-base,0.9245,0.9941,0.8960,0.9382,0.0412
palmyra-base/palmyra-small,0.9184,0.9818,0.8832,0.9278,0.0408
palmyra-small/palmyra-small,0.8968,0.9775,0.8914,0.9219,0.0394
pythia-1.4b/pythia-1.4b,0.9144,0.9907,0.8810,0.9287,0.0459
pythia-160m-dd/pythia-160m-dd,0.8926,0.9839,0.8777,0.9181,0.0469
pythia-160m/pythia-160m,0.8949,0.9863,0.8883,0.9232,0.0447
pythia-1b/pythia-1b,0.9036,0.9908,0.8803,0.9249,0.0476
pythia-2.8b/pythia-2.8b,0.9328,0.9930,0.8889,0.9382,0.0427
pythia-410m/pythia-410m,0.9049,0.9864,0.8723,0.9212,0.0480
pythia-6.9b/pythia-1.4b,0.9270,0.9915,0.8910,0.9365,0.0416
pythia-6.9b/pythia-160m,0.9041,0.9735,0.8600,0.9125,0.0467
pythia-6.9b/pythia-160m-dd,0.8028,0.8693,0.6728,0.7816,0.0816
pythia-6.9b/pythia-1b,0.9309,0.9920,0.9040,0.9423,0.0368
pythia-6.9b/pythia-2.8b,0.9270,0.9916,0.8868,0.9352,0.0432
pythia-6.9b/pythia-410m,0.9250,0.9893,0.8871,0.9338,0.0422
pythia-6.9b/pythia-6.9b,0.9324,0.9921,0.9012,0.9419,0.0377
pythia-6.9b/pythia-70m,0.8933,0.9535,0.8229,0.8899,0.0534
pythia-6.9b/pythia-70m-dd,0.7271,0.7360,0.5636,0.6756,0.0792
pythia-70m-dd/pythia-70m-dd,0.8735,0.9801,0.8786,0.9107,0.0491
pythia-70m/pythia-70m,0.8875,0.9872,0.9086,0.9278,0.0429
