Reference/Scoring,davinci-002,gpt-3.5-turbo,gpt-4
pythia-6.9b/pythia-70m-dd,0.6211555555555556,0.5492888888888889,0.634
opt-13b/opt-125m,0.6948444444444445,0.8654222222222222,0.8371999999999999
gpt-j-6B/distilgpt2,0.751511111111111,0.8734666666666666,0.8337333333333334
pythia-6.9b/pythia-160m,0.7594222222222222,0.8296888888888888,0.7821333333333332
palmyra-base/palmyra-small,0.7528888888888889,0.8759555555555554,0.833288888888889
pythia-6.9b/pythia-70m,0.7310222222222221,0.8088888888888889,0.75
gpt-j-6B/gpt-neo-125m,0.7389333333333334,0.8805777777777778,0.8294222222222222
opt-13b/opt-350m,0.7270666666666666,0.8882666666666666,0.8625333333333333
pythia-6.9b/pythia-160m-dd,0.6600888888888888,0.6248888888888889,0.6876000000000001
gpt-j-6B/gpt2,0.7456444444444444,0.8877777777777779,0.8564444444444443
