Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg,std
distilgpt2/distilgpt2,0.9206,0.8837,0.8722,0.8425,0.7747,0.8587,0.0489
gpt-j-6B/distilgpt2,0.9945,0.9811,0.9852,0.9523,0.8949,0.9616,0.0362
gpt-j-6B/gpt-j-6B,0.8231,0.8215,0.8283,0.9854,0.8585,0.8634,0.0625
gpt-j-6B/gpt-neo-1.3B,0.9947,0.9886,0.9933,0.9734,0.9407,0.9781,0.0202
gpt-j-6B/gpt-neo-125m,0.9946,0.9872,0.9936,0.9620,0.9203,0.9716,0.0282
gpt-j-6B/gpt2,0.9976,0.9835,0.9865,0.9524,0.8913,0.9623,0.0385
gpt-neo-1.3B/gpt-neo-1.3B,0.9581,0.9397,0.9570,0.9299,0.8725,0.9314,0.0313
gpt-neo-125m/gpt-neo-125m,0.9525,0.9312,0.9410,0.9088,0.8472,0.9162,0.0373
gpt-neo-2.7B/gpt-neo-2.7B,0.9345,0.9306,0.9956,0.9289,0.8857,0.9350,0.0351
gpt2-xl/gpt2-xl,0.9990,0.9067,0.8934,0.8851,0.7936,0.8956,0.0653
gpt2/gpt2,0.9712,0.8875,0.8916,0.8703,0.7693,0.8780,0.0645
opt-1.3b/opt-1.3b,0.9604,0.9726,0.9434,0.9297,0.8800,0.9372,0.0321
opt-125m/opt-125m,0.9597,0.9451,0.9321,0.9022,0.8432,0.9165,0.0412
opt-13b/opt-1.3b,0.9923,0.9947,0.9827,0.9698,0.9322,0.9743,0.0228
opt-13b/opt-125m,0.9953,0.9890,0.9857,0.9579,0.9058,0.9667,0.0331
opt-13b/opt-13b,0.8618,0.8987,0.8415,0.8943,0.8631,0.8719,0.0216
opt-13b/opt-350m,0.9969,0.9937,0.9869,0.9647,0.9152,0.9715,0.0303
opt-13b/opt-6.7b,0.9325,0.9550,0.9146,0.9393,0.9028,0.9288,0.0184
opt-2.7b/opt-2.7b,0.9354,0.9949,0.9191,0.9309,0.8759,0.9312,0.0381
opt-350m/opt-350m,0.9728,0.9613,0.9420,0.9179,0.8565,0.9301,0.0412
opt-6.7b/opt-6.7b,0.8940,0.9249,0.8736,0.9110,0.8694,0.8946,0.0213
palmyra-base/palmyra-base,0.9452,0.9307,0.9443,0.9261,0.8832,0.9259,0.0226
palmyra-base/palmyra-small,0.9896,0.9757,0.9841,0.9470,0.8885,0.9570,0.0373
palmyra-small/palmyra-small,0.9554,0.9336,0.9431,0.9062,0.8366,0.9150,0.0424
pythia-1.4b/pythia-1.4b,0.9385,0.9209,0.9385,0.9275,0.8841,0.9219,0.0200
pythia-160m-dd/pythia-160m-dd,0.9491,0.9286,0.9272,0.9085,0.8468,0.9120,0.0351
pythia-160m/pythia-160m,0.9543,0.9275,0.9275,0.9143,0.8579,0.9163,0.0320
pythia-1b/pythia-1b,0.9539,0.9391,0.9502,0.9252,0.8779,0.9293,0.0276
pythia-2.8b/pythia-2.8b,0.9112,0.8997,0.9099,0.9215,0.8954,0.9075,0.0092
pythia-410m/pythia-410m,0.9612,0.9426,0.9573,0.9235,0.8739,0.9317,0.0318
pythia-6.9b/pythia-1.4b,0.9819,0.9673,0.9794,0.9645,0.9332,0.9653,0.0174
pythia-6.9b/pythia-160m,0.9682,0.9501,0.9605,0.9251,0.8942,0.9396,0.0270
pythia-6.9b/pythia-160m-dd,0.9914,0.9778,0.9765,0.9454,0.9087,0.9600,0.0297
pythia-6.9b/pythia-1b,0.9898,0.9801,0.9868,0.9665,0.9317,0.9710,0.0212
pythia-6.9b/pythia-2.8b,0.9489,0.9372,0.9486,0.9525,0.9274,0.9429,0.0093
pythia-6.9b/pythia-410m,0.9952,0.9875,0.9907,0.9686,0.9325,0.9749,0.0231
pythia-6.9b/pythia-6.9b,0.8460,0.8385,0.8519,0.8965,0.8868,0.8640,0.0232
pythia-6.9b/pythia-70m,0.9571,0.9328,0.9448,0.9060,0.8664,0.9214,0.0323
pythia-6.9b/pythia-70m-dd,0.9779,0.9543,0.9577,0.9122,0.8636,0.9331,0.0408
pythia-70m-dd/pythia-70m-dd,0.9335,0.9138,0.9052,0.8881,0.8216,0.8924,0.0383
pythia-70m/pythia-70m,0.9316,0.9108,0.9193,0.8933,0.8327,0.8975,0.0348
