Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg,std
distilgpt2/distilgpt2,0.9396,0.8978,0.9370,0.9116,0.8729,0.9118,0.0250
gpt-j-6B/distilgpt2,0.9940,0.9568,0.9893,0.9739,0.9526,0.9733,0.0166
gpt-j-6B/gpt-j-6B,0.9584,0.9138,0.9562,0.9974,0.9672,0.9586,0.0268
gpt-j-6B/gpt-neo-1.3B,0.9973,0.9596,0.9958,0.9888,0.9802,0.9843,0.0138
gpt-j-6B/gpt-neo-125m,0.9961,0.9453,0.9929,0.9799,0.9649,0.9758,0.0188
gpt-j-6B/gpt2,0.9982,0.9508,0.9884,0.9650,0.9451,0.9695,0.0207
gpt-neo-1.3B/gpt-neo-1.3B,0.9831,0.9307,0.9806,0.9740,0.9536,0.9644,0.0198
gpt-neo-125m/gpt-neo-125m,0.9725,0.8949,0.9642,0.9493,0.9278,0.9417,0.0279
gpt-neo-2.7B/gpt-neo-2.7B,0.9790,0.9342,0.9981,0.9744,0.9604,0.9692,0.0212
gpt2-xl/gpt2-xl,0.9982,0.9400,0.9534,0.9287,0.9130,0.9467,0.0290
gpt2/gpt2,0.9807,0.8942,0.9362,0.9151,0.8754,0.9203,0.0364
opt-1.3b/opt-1.3b,0.9819,0.9874,0.9725,0.9733,0.9570,0.9744,0.0103
opt-125m/opt-125m,0.9797,0.9756,0.9689,0.9554,0.9330,0.9625,0.0169
opt-13b/opt-1.3b,0.9963,0.9936,0.9907,0.9876,0.9784,0.9893,0.0062
opt-13b/opt-125m,0.9969,0.9901,0.9935,0.9843,0.9692,0.9868,0.0097
opt-13b/opt-13b,0.9537,0.9742,0.9481,0.9654,0.9635,0.9610,0.0092
opt-13b/opt-350m,0.9979,0.9916,0.9947,0.9865,0.9747,0.9891,0.0081
opt-13b/opt-6.7b,0.9730,0.9823,0.9657,0.9770,0.9707,0.9738,0.0056
opt-2.7b/opt-2.7b,0.9768,0.9972,0.9664,0.9770,0.9623,0.9759,0.0121
opt-350m/opt-350m,0.9829,0.9785,0.9754,0.9614,0.9463,0.9689,0.0134
opt-6.7b/opt-6.7b,0.9600,0.9807,0.9531,0.9714,0.9648,0.9660,0.0095
palmyra-base/palmyra-base,0.9818,0.9411,0.9777,0.9767,0.9635,0.9681,0.0149
palmyra-base/palmyra-small,0.9924,0.9441,0.9899,0.9763,0.9621,0.9729,0.0180
palmyra-small/palmyra-small,0.9772,0.9257,0.9742,0.9603,0.9408,0.9557,0.0197
pythia-1.4b/pythia-1.4b,0.9808,0.9261,0.9758,0.9740,0.9624,0.9638,0.0198
pythia-160m-dd/pythia-160m-dd,0.9717,0.8966,0.9633,0.9497,0.9266,0.9416,0.0272
pythia-160m/pythia-160m,0.9680,0.8828,0.9610,0.9454,0.9297,0.9374,0.0303
pythia-1b/pythia-1b,0.9820,0.9287,0.9777,0.9717,0.9612,0.9643,0.0191
pythia-2.8b/pythia-2.8b,0.9749,0.9316,0.9726,0.9782,0.9724,0.9659,0.0173
pythia-410m/pythia-410m,0.9800,0.9217,0.9774,0.9658,0.9461,0.9582,0.0218
pythia-6.9b/pythia-1.4b,0.9937,0.9454,0.9932,0.9864,0.9802,0.9798,0.0179
pythia-6.9b/pythia-160m,0.9668,0.9142,0.9617,0.9382,0.9328,0.9427,0.0194
pythia-6.9b/pythia-160m-dd,0.9910,0.9435,0.9869,0.9666,0.9485,0.9673,0.0193
pythia-6.9b/pythia-1b,0.9955,0.9470,0.9939,0.9842,0.9779,0.9797,0.0176
pythia-6.9b/pythia-2.8b,0.9842,0.9305,0.9825,0.9826,0.9797,0.9719,0.0207
pythia-6.9b/pythia-410m,0.9960,0.9524,0.9952,0.9848,0.9747,0.9806,0.0161
pythia-6.9b/pythia-6.9b,0.9655,0.9193,0.9646,0.9728,0.9743,0.9593,0.0204
pythia-6.9b/pythia-70m,0.9623,0.9001,0.9569,0.9299,0.9188,0.9336,0.0233
pythia-6.9b/pythia-70m-dd,0.9633,0.9030,0.9485,0.9224,0.9008,0.9276,0.0248
pythia-70m-dd/pythia-70m-dd,0.9512,0.8869,0.9513,0.9315,0.9164,0.9275,0.0242
pythia-70m/pythia-70m,0.9550,0.8881,0.9550,0.9346,0.9196,0.9304,0.0250
