Reference/Scoring,gpt2-xl,opt-2.7b,gpt-neo-2.7B,gpt-j-6B,gpt-neox-20b,avg,std
distilgpt2/distilgpt2,0.8656,0.7909,0.8299,0.7544,0.7022,0.7886,0.0571
gpt-j-6B/distilgpt2,0.9833,0.9381,0.9713,0.9294,0.8762,0.9397,0.0375
gpt-j-6B/gpt-j-6B,0.8317,0.8509,0.7886,0.9771,0.8473,0.8591,0.0630
gpt-j-6B/gpt-neo-1.3B,0.9870,0.9584,0.9800,0.9447,0.9070,0.9554,0.0285
gpt-j-6B/gpt-neo-125m,0.9791,0.9411,0.9778,0.9428,0.8856,0.9453,0.0340
gpt-j-6B/gpt2,0.9910,0.9281,0.9649,0.9138,0.8592,0.9314,0.0452
gpt-neo-1.3B/gpt-neo-1.3B,0.9558,0.9240,0.9419,0.8916,0.8578,0.9142,0.0355
gpt-neo-125m/gpt-neo-125m,0.9441,0.8923,0.9312,0.8729,0.8317,0.8944,0.0406
gpt-neo-2.7B/gpt-neo-2.7B,0.9299,0.9070,0.9885,0.8867,0.8589,0.9142,0.0439
gpt2-xl/gpt2-xl,0.9930,0.7880,0.7727,0.7428,0.7166,0.8026,0.0983
gpt2/gpt2,0.9515,0.8240,0.8393,0.7723,0.7314,0.8237,0.0745
opt-1.3b/opt-1.3b,0.9035,0.9329,0.8461,0.8542,0.8340,0.8741,0.0377
opt-125m/opt-125m,0.9490,0.9224,0.9186,0.8751,0.8436,0.9018,0.0375
opt-13b/opt-1.3b,0.9779,0.9780,0.9580,0.9473,0.9178,0.9558,0.0224
opt-13b/opt-125m,0.9921,0.9712,0.9841,0.9592,0.9118,0.9637,0.0283
opt-13b/opt-13b,0.7167,0.7925,0.6446,0.7360,0.7732,0.7326,0.0515
opt-13b/opt-350m,0.9929,0.9743,0.9860,0.9604,0.9174,0.9662,0.0268
opt-13b/opt-6.7b,0.8422,0.8867,0.7695,0.8321,0.8476,0.8356,0.0379
opt-2.7b/opt-2.7b,0.8519,0.9804,0.7832,0.8283,0.8249,0.8537,0.0671
opt-350m/opt-350m,0.9565,0.9304,0.9179,0.8696,0.8446,0.9038,0.0409
opt-6.7b/opt-6.7b,0.7611,0.8321,0.6770,0.7620,0.7890,0.7643,0.0507
palmyra-base/palmyra-base,0.9330,0.9073,0.9060,0.8779,0.8482,0.8945,0.0290
palmyra-base/palmyra-small,0.9753,0.9272,0.9669,0.9197,0.8690,0.9316,0.0380
palmyra-small/palmyra-small,0.9451,0.8920,0.9245,0.8646,0.8338,0.8920,0.0400
pythia-1.4b/pythia-1.4b,0.9301,0.9032,0.9035,0.8739,0.8583,0.8938,0.0251
pythia-160m-dd/pythia-160m-dd,0.9413,0.8907,0.9081,0.8591,0.8451,0.8889,0.0344
pythia-160m/pythia-160m,0.9406,0.8968,0.9120,0.8634,0.8427,0.8911,0.0347
pythia-1b/pythia-1b,0.9467,0.9048,0.9194,0.8826,0.8588,0.9025,0.0302
pythia-2.8b/pythia-2.8b,0.9049,0.8871,0.8682,0.8679,0.8699,0.8796,0.0145
pythia-410m/pythia-410m,0.9522,0.9092,0.9295,0.8752,0.8574,0.9047,0.0346
pythia-6.9b/pythia-1.4b,0.9721,0.9455,0.9630,0.9373,0.9108,0.9458,0.0214
pythia-6.9b/pythia-160m,0.9474,0.9071,0.9428,0.9046,0.8666,0.9137,0.0294
pythia-6.9b/pythia-160m-dd,0.9105,0.8320,0.8888,0.8245,0.7994,0.8510,0.0417
pythia-6.9b/pythia-1b,0.9827,0.9536,0.9748,0.9488,0.9112,0.9542,0.0250
pythia-6.9b/pythia-2.8b,0.9415,0.9162,0.9196,0.9099,0.9007,0.9176,0.0136
pythia-6.9b/pythia-410m,0.9857,0.9562,0.9797,0.9471,0.9081,0.9554,0.0276
pythia-6.9b/pythia-6.9b,0.8525,0.8569,0.8129,0.8532,0.8650,0.8481,0.0182
pythia-6.9b/pythia-70m,0.9369,0.8937,0.9383,0.8968,0.8543,0.9040,0.0313
pythia-6.9b/pythia-70m-dd,0.8134,0.7298,0.7664,0.7183,0.7212,0.7498,0.0361
pythia-70m-dd/pythia-70m-dd,0.9189,0.8800,0.8996,0.8508,0.8385,0.8776,0.0298
pythia-70m/pythia-70m,0.9255,0.8862,0.9059,0.8573,0.8390,0.8828,0.0314
